area1,area2,area3,,,,
충청북도,,,,,,
충청북도,청주시,,,,,
충청북도,상당구,낭성면,,,,
충청북도,상당구,미원면,,,,
충청북도,상당구,가덕면,,,,
충청북도,상당구,남일면,,,,
충청북도,상당구,문의면,,,,
충청북도,상당구,중앙동,,,,
충청북도,상당구,성안동,,,,
충청북도,상당구,탑대성동,,,,
충청북도,상당구,영운동,,,,
충청북도,상당구,금천동,,,,
충청북도,상당구,용담명암산성동,,,,
충청북도,상당구,용암1동,,,,
충청북도,상당구,용암2동,,,,
충청북도,서원구,남이면,,,,
충청북도,서원구,현도면,,,,
충청북도,서원구,사직1동,,,,
충청북도,서원구,사직2동,,,,
충청북도,서원구,사창동,,,,
충청북도,서원구,모충동,,,,
충청북도,서원구,산남동,,,,
충청북도,서원구,분평동,,,,
충청북도,서원구,수곡1동,,,,
충청북도,서원구,수곡2동,,,,
충청북도,서원구,성화개신죽림동,,,,
충청북도,흥덕구,오송읍,,,,
충청북도,흥덕구,강내면,,,,
충청북도,흥덕구,옥산면,,,,
충청북도,흥덕구,운천신봉동,,,,
충청북도,흥덕구,복대1동,,,,
충청북도,흥덕구,복대2동,,,,
충청북도,흥덕구,가경동,,,,
충청북도,흥덕구,봉명1동,,,,
충청북도,흥덕구,봉명2송정동,,,,
충청북도,흥덕구,강서1동,,,,
충청북도,흥덕구,강서2동,,,,
충청북도,청원구,내수읍,,,,
충청북도,청원구,오창읍,,,,
충청북도,청원구,북이면,,,,
충청북도,청원구,우암동,,,,
충청북도,청원구,내덕1동,,,,
충청북도,청원구,내덕2동,,,,
충청북도,청원구,율량사천동,,,,
충청북도,청원구,오근장동,,,,
충청북도,충주시,주덕읍,,,,
충청북도,충주시,대소원면,,,,
충청북도,충주시,양성면,,,,
충청북도,충주시,동량면,,,,
충청북도,충주시,소태면,,,,
충청북도,충주시,교현2동,,,,
충청북도,충주시,문화동,,,,
충청북도,충주시,봉방동,,,,
충청북도,충주시,목행.용탄동,,,,
충청북도,충주시,살미면,,,,
충청북도,충주시,신니면,,,,
충청북도,충주시,중앙탑면,,,,
충청북도,충주시,산척면,,,,
충청북도,충주시,성내충인동,,,,
충청북도,충주시,용산동,,,,
충청북도,충주시,호암직동,,,,
충청북도,충주시,칠금.금릉동,,,,
충청북도,충주시,수안보면,,,,
충청북도,충주시,노은면,,,,
충청북도,충주시,금가면,,,,
충청북도,충주시,엄정면,,,,
충청북도,충주시,교현안림동,,,,
충청북도,충주시,지현동,,,,
충청북도,충주시,달천동,,,,
충청북도,충주시,연수동,,,,
충청북도,제천시,교동,,,,
충청북도,제천시,의림지동,,,,
충청북도,제천시,중앙동,,,,
충청북도,제천시,남현동,,,,
충청북도,제천시,영서동,,,,
충청북도,제천시,용두동,,,,
충청북도,제천시,신백동,,,,
충청북도,제천시,청전동,,,,
충청북도,제천시,화산동,,,,
충청북도,제천시,봉양읍,,,,
충청북도,제천시,금성면,,,,
충청북도,제천시,청풍면,,,,
충청북도,제천시,수산면,,,,
충청북도,제천시,덕산면,,,,
충청북도,제천시,한수면,,,,
충청북도,제천시,백운면,,,,
충청북도,제천시,송학면,,,,
충청북도,보은군,보은읍,,,,
충청북도,보은군,속리산면,,,,
충청북도,보은군,장안면,,,,
충청북도,보은군,마로면,,,,
충청북도,보은군,탄부면,,,,
충청북도,보은군,삼승면,,,,
충청북도,보은군,수한면,,,,
충청북도,보은군,회남면,,,,
충청북도,보은군,회인면,,,,
충청북도,보은군,내북면,,,,
충청북도,보은군,산외면,,,,
충청북도,옥천군,옥천읍,,,,
충청북도,옥천군,동이면,,,,
충청북도,옥천군,안남면,,,,
충청북도,옥천군,안내면,,,,
충청북도,옥천군,청성면,,,,
충청북도,옥천군,청산면,,,,
충청북도,옥천군,이원면,,,,
충청북도,옥천군,군서면,,,,
충청북도,옥천군,군북면,,,,
충청북도,영동군,영동읍,,,,
충청북도,영동군,용산면,,,,
충청북도,영동군,황간면,,,,
충청북도,영동군,추풍령면,,,,
충청북도,영동군,매곡면,,,,
충청북도,영동군,상촌면,,,,
충청북도,영동군,양강면,,,,
충청북도,영동군,용화면,,,,
충청북도,영동군,학산면,,,,
충청북도,영동군,양산면,,,,
충청북도,영동군,심천면,,,,
충청북도,증평군(증평읍),증평리,,,,
충청북도,증평군(증평읍),교동리,,,,
충청북도,증평군(증평읍),중동리,,,,
충청북도,증평군(증평읍),대동리,,,,
충청북도,증평군(증평읍),신동리,,,,
충청북도,증평군(증평읍),창동리,,,,
충청북도,증평군(증평읍),장동리,,,,
충청북도,증평군(증평읍),증천리,,,,
충청북도,증평군(증평읍),내성리,,,,
충청북도,증평군(증평읍),초중리,,,,
충청북도,증평군(증평읍),연탄리,,,,
충청북도,증평군(증평읍),송산리,,,,
충청북도,증평군(증평읍),미암리,,,,
충청북도,증평군(증평읍),사곡리,,,,
충청북도,증평군(증평읍),용강리,,,,
충청북도,증평군(증평읍),덕상리,,,,
충청북도,증평군(증평읍),남차리,,,,
충청북도,증평군(증평읍),율리,,,,
충청북도,증평군(증평읍),죽리,,,,
충청북도,증평군(증평읍),남하리,,,,
충청북도,증평군(도안면),화성리,,,,
충청북도,증평군(도안면),노암리,,,,
충청북도,증평군(도안면),연촌리,,,,
충청북도,증평군(도안면),송정리,,,,
충청북도,증평군(도안면),광덕리,,,,
충청북도,증평군(도안면),석곡리,,,,
충청북도,증평군(도안면),도당리,,,,
충청북도,진천군,진천읍,,,,
충청북도,진천군,덕산읍,,,,
충청북도,진천군,초평면,,,,
충청북도,진천군,문백면,,,,
충청북도,진천군,백곡면,,,,
충청북도,진천군,이월면,,,,
충청북도,진천군,광혜원면,,,,
충청북도,괴산군,괴산읍,,,,
충청북도,괴산군,감물면,,,,
충청북도,괴산군,장연면,,,,
충청북도,괴산군,연풍면,,,,
충청북도,괴산군,칠성면,,,,
충청북도,괴산군,문광면,,,,
충청북도,괴산군,청천면,,,,
충청북도,괴산군,청안면,,,,
충청북도,괴산군,사리면,,,,
충청북도,괴산군,소수면,,,,
충청북도,괴산군,불정면,,,,
충청북도,음성군,음성읍,,,,
충청북도,음성군,금왕읍,,,,
충청북도,음성군,소이면,,,,
충청북도,음성군,원남면,,,,
충청북도,음성군,맹동면,,,,
충청북도,음성군,대소면,,,,
충청북도,음성군,삼성면,,,,
충청북도,음성군,생극면,,,,
충청북도,음성군,감곡면,,,,
충청북도,단양군,단양읍,,,,
충청북도,단양군,매포읍,,,,
충청북도,단양군,단성면,,,,
충청북도,단양군,대강면,,,,
충청북도,단양군,가곡면,,,,
충청북도,단양군,영춘면,,,,
충청북도,단양군,어상천면,,,,
충청북도,단양군,적성면,,,,
세종특별자치시,조치원읍,원리,,,,
,조치원읍,상리,,,,
,조치원읍,평리,,,,
,조치원읍,교리,,,,
,조치원읍,정리,,,,
,조치원읍,명리,,,,
,조치원읍,남리,,,,
,조치원읍,침산리,,,,
,조치원읍,신흥리,,,,
,조치원읍,죽림리,,,,
,조치원읍,번암리,,,,
,조치원읍,신안리,,,,
,조치원읍,봉산리,,,,
,조치원읍,서창리,,,,
,연기면,연기리,,,,
,연기면,보통리,,,,
,연기면,눌왕리,,,,
,연기면,수산리,,,,
,연기면,세종리,,,,
,연기면,누리리,,,,
,연기면,한별리,,,,
,연동면,내판리,,,,
,연동면,문주리,,,,
,연동면,명학리,,,,
,연동면,응암리,,,,
,연동면,노송리,,,,
,연동면,예양리,,,,
,연동면,송용리,,,,
,연동면,합강리,,,,
,연동면,다솜리,,,,
,연동면,용호리,,,,
,부강면,부강리,,,,
,부강면,행산리,,,,
,부강면,산수리,,,,
,부강면,갈산리,,,,
,부강면,문곡리,,,,
,부강면,등곡리,,,,
,부강면,노호리,,,,
,부강면,금호리,,,,
,금남면,용포리,,,,
,금남면,발산리,,,,
,금남면,감성리,,,,
,금남면,두만리,,,,
,금남면,용담리,,,,
,금남면,축산리,,,,
,금남면,금천리,,,,
,금남면,영치리,,,,
,금남면,남곡리,,,,
,금남면,황용리,,,,
,금남면,영대리,,,,
,금남면,달전리,,,,
,금남면,박산리,,,,
,금남면,대박리,,,,
,금남면,부용리,,,,
,금남면,장재리,,,,
,금남면,호탄리,,,,
,금남면,신촌리,,,,
,금남면,도암리,,,,
,금남면,성덕리,,,,
,금남면,영곡리,,,,
,금남면,성강리,,,,
,금남면,봉암리,,,,
,금남면,국곡리,,,,
,금남면,원봉리,,,,
,금남면,도남리,,,,
,장군면,도계리,,,,
,장군면,평기리,,,,
,장군면,대교리,,,,
,장군면,봉안리,,,,
,장군면,금암리,,,,
,장군면,하봉리,,,,
,장군면,은용리,,,,
,장군면,산학리,,,,
,장군면,송문리,,,,
,장군면,송정리,,,,
,장군면,송학리,,,,
,장군면,용현리,,,,
,장군면,용암리,,,,
,장군면,태산리,,,,
,연서면,월하리,,,,
,연서면,쌍전리,,,,
,연서면,성제리,,,,
,연서면,고복리,,,,
,연서면,용암리,,,,
,연서면,쌍류리,,,,
,연서면,청라리,,,,
,연서면,기룡리,,,,
,연서면,신대리,,,,
,연서면,국촌리,,,,
,연서면,와촌리,,,,
,연서면,부동리,,,,
,연서면,봉암리,,,,
,전의면,읍내리,,,,
,전의면,동교리,,,,
,전의면,서정리,,,,
,전의면,원성리,,,,
,전의면,신흥리,,,,
,전의면,유천리,,,,
,전의면,관정리,,,,
,전의면,신정리,,,,
,전의면,노곡리,,,,
,전의면,신방리,,,,
,전의면,영당리,,,,
,전의면,양곡리,,,,
,전의면,달전리,,,,
,전의면,금사리,,,,
,전의면,다방리,,,,
,전동면,노장리,,,,
,전동면,봉대리,,,,
,전동면,청송리,,,,
,전동면,석곡리,,,,
,전동면,보덕리,,,,
,전동면,송곡리,,,,
,전동면,송정리,,,,
,전동면,청람리,,,,
,전동면,미곡리,,,,
,전동면,송성리,,,,
,전동면,심중리,,,,
,소정면,소정리,,,,
,소정면,운당리,,,,
,소정면,대곡리,,,,
,소정면,고등리,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
충청남도,,,,,,
경상북도,,,,,,
경상남도,,,,,,
전라남도,,,,,,
전라북도,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
